14:42:00.070514 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
14:42:00.074408 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
14:42:00.272869 IP 192.168.48.131.51378 > 192.168.48.2.domain: 60185+ PTR? 128.48.168.192.in-addr.arpa. (45)
14:42:00.277665 IP 192.168.48.2.domain > 192.168.48.131.51378: 60185 NXDomain 0/1/0 (113)
14:42:00.366479 ARP, Request who-has 192.168.48.128 tell 192.168.48.131, length 46
14:42:00.366738 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
14:42:00.367094 IP 192.168.48.131.59705 > 192.168.48.128.1723: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.367408 IP 192.168.48.131.59705 > 192.168.48.128.8888: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.367630 IP 192.168.48.128.1723 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:00.367869 IP 192.168.48.128.8888 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:00.368206 IP 192.168.48.131.59705 > 192.168.48.128.netbios-ssn: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.368606 IP 192.168.48.128.netbios-ssn > 192.168.48.131.59705: Flags [S.], seq 3276246350, ack 330613840, win 64240, options [mss 1460], length 0
14:42:00.368857 IP 192.168.48.131.59705 > 192.168.48.128.3389: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.369094 IP 192.168.48.128.3389 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:00.369402 IP 192.168.48.131.59705 > 192.168.48.128.netbios-ssn: Flags [R], seq 330613840, win 0, length 0
14:42:00.370129 IP 192.168.48.131.59705 > 192.168.48.128.smux: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.370375 IP 192.168.48.128.smux > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:00.371115 IP 192.168.48.131.59705 > 192.168.48.128.imaps: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.371534 IP 192.168.48.128.imaps > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:00.372216 IP 192.168.48.131.59705 > 192.168.48.128.5900: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.372863 IP 192.168.48.128.5900 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:00.373550 IP 192.168.48.131.59705 > 192.168.48.128.1025: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.374021 IP 192.168.48.128.1025 > 192.168.48.131.59705: Flags [S.], seq 3276291929, ack 330613840, win 64240, options [mss 1460], length 0
14:42:00.374452 IP 192.168.48.131.59705 > 192.168.48.128.http-alt: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.374742 IP 192.168.48.128.http-alt > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:00.375829 IP 192.168.48.131.59705 > 192.168.48.128.1025: Flags [R], seq 330613840, win 0, length 0
14:42:00.376604 IP 192.168.48.131.59705 > 192.168.48.128.rtsp: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:00.417036 IP 192.168.48.128.rtsp > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.469881 IP 192.168.48.131.59705 > 192.168.48.128.pop3: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.470349 IP 192.168.48.131.59705 > 192.168.48.128.domain: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.470418 IP 192.168.48.128.pop3 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.470568 IP 192.168.48.128.domain > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.470961 IP 192.168.48.131.59705 > 192.168.48.128.ssh: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.471456 IP 192.168.48.128.ssh > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.471917 IP 192.168.48.131.59705 > 192.168.48.128.auth: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.472237 IP 192.168.48.128.auth > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.472410 IP 192.168.48.131.59705 > 192.168.48.128.submission: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.472623 IP 192.168.48.128.submission > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.472967 IP 192.168.48.131.59705 > 192.168.48.128.telnet: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.473220 IP 192.168.48.128.telnet > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.473488 IP 192.168.48.131.59705 > 192.168.48.128.smtp: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.473751 IP 192.168.48.128.smtp > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.473892 IP 192.168.48.131.59705 > 192.168.48.128.imap2: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.474090 IP 192.168.48.128.imap2 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.474391 IP 192.168.48.131.59705 > 192.168.48.128.256: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.474627 IP 192.168.48.128.256 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.474911 IP 192.168.48.131.59705 > 192.168.48.128.sunrpc: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.475143 IP 192.168.48.128.sunrpc > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.475592 IP 192.168.48.131.59705 > 192.168.48.128.mysql: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.475754 IP 192.168.48.131.59705 > 192.168.48.128.https: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.475926 IP 192.168.48.128.mysql > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.475988 IP 192.168.48.128.https > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.476350 IP 192.168.48.131.59705 > 192.168.48.128.loc-srv: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.476711 IP 192.168.48.131.59705 > 192.168.48.128.1720: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.476889 IP 192.168.48.131.59705 > 192.168.48.128.http: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.477107 IP 192.168.48.131.59705 > 192.168.48.128.ftp: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.477399 IP 192.168.48.131.59705 > 192.168.48.128.microsoft-ds: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.477600 IP 192.168.48.131.59705 > 192.168.48.128.pop3s: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.477769 IP 192.168.48.131.59705 > 192.168.48.128.3851: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.477917 IP 192.168.48.131.59705 > 192.168.48.128.printer: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.478038 IP 192.168.48.131.59705 > 192.168.48.128.3001: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.478177 IP 192.168.48.131.59705 > 192.168.48.128.amandaidx: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.478328 IP 192.168.48.131.59705 > 192.168.48.128.280: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.478446 IP 192.168.48.131.59705 > 192.168.48.128.8600: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.478582 IP 192.168.48.131.59705 > 192.168.48.128.65000: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.478751 IP 192.168.48.131.59705 > 192.168.48.128.55600: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.478895 IP 192.168.48.131.59705 > 192.168.48.128.50002: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.479032 IP 192.168.48.131.59705 > 192.168.48.128.ftp-data: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.479158 IP 192.168.48.131.59705 > 192.168.48.128.1076: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.479320 IP 192.168.48.131.59705 > 192.168.48.128.44176: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.479453 IP 192.168.48.131.59705 > 192.168.48.128.2288: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.479575 IP 192.168.48.131.59705 > 192.168.48.128.49163: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.479736 IP 192.168.48.131.59705 > 192.168.48.128.x11-3: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.479873 IP 192.168.48.131.59705 > 192.168.48.128.1124: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.480003 IP 192.168.48.131.59705 > 192.168.48.128.89: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.480125 IP 192.168.48.131.59705 > 192.168.48.128.19101: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.480267 IP 192.168.48.131.59705 > 192.168.48.128.1164: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.480403 IP 192.168.48.131.59705 > 192.168.48.128.4001: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.480526 IP 192.168.48.131.59705 > 192.168.48.128.10180: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.480648 IP 192.168.48.131.59705 > 192.168.48.128.24: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.480790 IP 192.168.48.131.59705 > 192.168.48.128.1059: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.480925 IP 192.168.48.131.59705 > 192.168.48.128.7025: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.481125 IP 192.168.48.131.59705 > 192.168.48.128.9200: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.481299 IP 192.168.48.131.59705 > 192.168.48.128.4125: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.481759 IP 192.168.48.131.59705 > 192.168.48.128.5850: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.482118 IP 192.168.48.131.59705 > 192.168.48.128.5718: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.482622 IP 192.168.48.131.59705 > 192.168.48.128.x11-2: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.482826 IP 192.168.48.131.59705 > 192.168.48.128.1054: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.482964 IP 192.168.48.131.59705 > 192.168.48.128.32770: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.483107 IP 192.168.48.131.59705 > 192.168.48.128.42510: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.485668 IP 192.168.48.131.59705 > 192.168.48.128.4003: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.485859 IP 192.168.48.131.59705 > 192.168.48.128.30951: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.485990 IP 192.168.48.131.59705 > 192.168.48.128.700: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.486116 IP 192.168.48.131.59705 > 192.168.48.128.8084: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.486250 IP 192.168.48.131.59705 > 192.168.48.128.1501: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.486380 IP 192.168.48.131.59705 > 192.168.48.128.1864: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.486518 IP 192.168.48.131.59705 > 192.168.48.128.bgpd: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.486642 IP 192.168.48.131.59705 > 192.168.48.128.1090: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.486782 IP 192.168.48.131.59705 > 192.168.48.128.iscsi-target: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.486904 IP 192.168.48.131.59705 > 192.168.48.128.31038: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.487024 IP 192.168.48.131.59705 > 192.168.48.128.9080: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.487143 IP 192.168.48.131.59705 > 192.168.48.128.1066: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.487262 IP 192.168.48.131.59705 > 192.168.48.128.5560: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.487411 IP 192.168.48.131.59705 > 192.168.48.128.xtell: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.487544 IP 192.168.48.131.59705 > 192.168.48.128.40911: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.487666 IP 192.168.48.131.59705 > 192.168.48.128.urd: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.487812 IP 192.168.48.131.59705 > 192.168.48.128.9111: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.487952 IP 192.168.48.131.59705 > 192.168.48.128.3370: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.488376 IP 192.168.48.131.59705 > 192.168.48.128.git: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.488468 IP 192.168.48.131.59705 > 192.168.48.128.555: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.488515 IP 192.168.48.131.59705 > 192.168.48.128.32772: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.488543 IP 192.168.48.131.59705 > 192.168.48.128.8042: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.488570 IP 192.168.48.131.59705 > 192.168.48.128.9091: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.488667 IP 192.168.48.131.59705 > 192.168.48.128.1104: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.489279 IP 192.168.48.128.loc-srv > 192.168.48.131.59705: Flags [S.], seq 3276592502, ack 330613840, win 64240, options [mss 1460], length 0
14:42:01.489443 IP 192.168.48.128.1720 > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.489503 IP 192.168.48.128.http > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.489545 IP 192.168.48.128.ftp > 192.168.48.131.59705: Flags [R.], seq 0, ack 330613840, win 0, length 0
14:42:01.489741 IP 192.168.48.131.59705 > 192.168.48.128.212: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.490005 IP 192.168.48.131.59705 > 192.168.48.128.loc-srv: Flags [R], seq 330613840, win 0, length 0
14:42:01.490205 IP 192.168.48.131.59705 > 192.168.48.128.4006: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.490495 IP 192.168.48.131.59705 > 192.168.48.128.4002: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.490642 IP 192.168.48.131.59705 > 192.168.48.128.1077: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.491079 IP 192.168.48.131.59705 > 192.168.48.128.1040: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.491445 IP 192.168.48.131.59705 > 192.168.48.128.4242: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.491808 IP 192.168.48.131.59705 > 192.168.48.128.1002: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.492057 IP 192.168.48.131.59705 > 192.168.48.128.1234: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
14:42:01.492203 IP 192.168.48.131.59705 > 192.168.48.128.8010: Flags [S], seq 330613839, win 1024, options [mss 1460], length 0
