15:43:36.631251 IP6 fe80::dd2b:da38:44c8:1eab.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:36.633302 IP6 fe80::b809:b0c9:f756:f328.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:40.366492 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:43:40.367173 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:43:40.567856 IP 192.168.48.131.47565 > 192.168.48.2.domain: 55483+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:43:40.581379 IP 192.168.48.2.domain > 192.168.48.131.47565: 55483 NXDomain 0/1/0 (113)
15:43:40.605195 IP 192.168.48.131.58400 > 192.168.48.128.telnet: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.605520 IP 192.168.48.131.58400 > 192.168.48.128.mysql: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.605542 IP 192.168.48.131.58400 > 192.168.48.128.5900: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.605718 IP 192.168.48.131.58400 > 192.168.48.128.8888: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.605775 IP 192.168.48.131.58400 > 192.168.48.128.http-alt: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.605927 IP 192.168.48.131.58400 > 192.168.48.128.https: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.606030 IP 192.168.48.131.58400 > 192.168.48.128.smtp: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.606319 IP 192.168.48.131.58400 > 192.168.48.128.3389: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.606355 IP 192.168.48.131.58400 > 192.168.48.128.pop3: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.606413 IP 192.168.48.131.58400 > 192.168.48.128.netbios-ssn: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:40.609547 IP 192.168.48.128.telnet > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:40.609614 IP 192.168.48.128.8888 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:40.609623 IP 192.168.48.128.http-alt > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:40.609629 IP 192.168.48.128.https > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:40.609635 IP 192.168.48.128.smtp > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:40.609640 IP 192.168.48.128.mysql > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:40.609667 IP 192.168.48.128.3389 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:40.609673 IP 192.168.48.128.pop3 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:40.609679 IP 192.168.48.128.netbios-ssn > 192.168.48.131.58400: Flags [S.], seq 4086781608, ack 3926955329, win 64240, options [mss 1460], length 0
15:43:40.609685 IP 192.168.48.128.5900 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:40.611533 IP 192.168.48.131.58400 > 192.168.48.128.netbios-ssn: Flags [R], seq 3926955329, win 0, length 0
15:43:41.707078 IP 192.168.48.131.58400 > 192.168.48.128.ssh: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.707356 IP 192.168.48.128.ssh > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.707443 IP 192.168.48.131.58400 > 192.168.48.128.rtsp: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.708108 IP 192.168.48.128.rtsp > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.708650 IP 192.168.48.131.58400 > 192.168.48.128.auth: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.709154 IP 192.168.48.131.58400 > 192.168.48.128.domain: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.709402 IP 192.168.48.128.auth > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.709538 IP 192.168.48.128.domain > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.710028 IP 192.168.48.131.58400 > 192.168.48.128.ftp: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.710329 IP 192.168.48.128.ftp > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.710742 IP 192.168.48.131.58400 > 192.168.48.128.1720: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.710998 IP 192.168.48.128.1720 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.711223 IP 192.168.48.131.58400 > 192.168.48.128.1025: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.711766 IP 192.168.48.131.58400 > 192.168.48.128.microsoft-ds: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.711841 IP 192.168.48.128.1025 > 192.168.48.131.58400: Flags [S.], seq 4087087587, ack 3926955329, win 64240, options [mss 1460], length 0
15:43:41.712274 IP 192.168.48.131.58400 > 192.168.48.128.http: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.712336 IP 192.168.48.128.microsoft-ds > 192.168.48.131.58400: Flags [S.], seq 4087145772, ack 3926955329, win 64240, options [mss 1460], length 0
15:43:41.712456 IP 192.168.48.128.http > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.712880 IP 192.168.48.131.58400 > 192.168.48.128.1025: Flags [R], seq 3926955329, win 0, length 0
15:43:41.713428 IP 192.168.48.131.58400 > 192.168.48.128.microsoft-ds: Flags [R], seq 3926955329, win 0, length 0
15:43:41.715203 IP 192.168.48.131.58400 > 192.168.48.128.sunrpc: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.715467 IP 192.168.48.128.sunrpc > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.715933 IP 192.168.48.131.58400 > 192.168.48.128.1723: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.716179 IP 192.168.48.128.1723 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.716592 IP 192.168.48.131.58400 > 192.168.48.128.imaps: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.717295 IP 192.168.48.131.58400 > 192.168.48.128.pop3s: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.717364 IP 192.168.48.128.imaps > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.717889 IP 192.168.48.131.58400 > 192.168.48.128.smux: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.717998 IP 192.168.48.128.pop3s > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.718192 IP 192.168.48.128.smux > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.718756 IP 192.168.48.131.58400 > 192.168.48.128.imap2: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.718992 IP 192.168.48.128.imap2 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.719386 IP 192.168.48.131.58400 > 192.168.48.128.submission: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.719893 IP 192.168.48.128.submission > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.720104 IP 192.168.48.131.58400 > 192.168.48.128.loc-srv: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.720633 IP 192.168.48.131.58400 > 192.168.48.128.ldap: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.720717 IP 192.168.48.131.58400 > 192.168.48.128.7070: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.720777 IP 192.168.48.128.loc-srv > 192.168.48.131.58400: Flags [S.], seq 4087190475, ack 3926955329, win 64240, options [mss 1460], length 0
15:43:41.720908 IP 192.168.48.128.ldap > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.720980 IP 192.168.48.128.7070 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.721287 IP 192.168.48.131.58400 > 192.168.48.128.loc-srv: Flags [R], seq 3926955329, win 0, length 0
15:43:41.721931 IP 192.168.48.131.58400 > 192.168.48.128.kshell: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.722242 IP 192.168.48.128.kshell > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.722614 IP 192.168.48.131.58400 > 192.168.48.128.poppassd: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.722859 IP 192.168.48.128.poppassd > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.723106 IP 192.168.48.131.58400 > 192.168.48.128.afpovertcp: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.723617 IP 192.168.48.131.58400 > 192.168.48.128.2717: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.723735 IP 192.168.48.128.afpovertcp > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.724359 IP 192.168.48.128.2717 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.726003 IP 192.168.48.131.58400 > 192.168.48.128.2001: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.726310 IP 192.168.48.128.2001 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.726832 IP 192.168.48.131.58400 > 192.168.48.128.enbd-cstatd: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.727234 IP 192.168.48.128.enbd-cstatd > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.727337 IP 192.168.48.131.58400 > 192.168.48.128.9999: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.727556 IP 192.168.48.128.9999 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.727784 IP 192.168.48.131.58400 > 192.168.48.128.postgresql: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.727996 IP 192.168.48.128.postgresql > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.728349 IP 192.168.48.131.58400 > 192.168.48.128.5800: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.728775 IP 192.168.48.131.58400 > 192.168.48.128.rsync: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:41.728846 IP 192.168.48.128.5800 > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
15:43:41.728997 IP 192.168.48.128.rsync > 192.168.48.131.58400: Flags [R.], seq 0, ack 3926955329, win 0, length 0
