15:45:26.313041 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:45:26.314163 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:45:26.509918 IP 192.168.48.131.41718 > 192.168.48.2.domain: 21689+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:45:26.516143 IP 192.168.48.2.domain > 192.168.48.131.41718: 21689 NXDomain 0/1/0 (113)
15:45:26.530371 IP 192.168.48.131.59445 > 192.168.48.128.1025: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.530420 IP 192.168.48.131.59445 > 192.168.48.128.telnet: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.530428 IP 192.168.48.131.59445 > 192.168.48.128.submission: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.530434 IP 192.168.48.131.59445 > 192.168.48.128.imap2: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.530439 IP 192.168.48.131.59445 > 192.168.48.128.http-alt: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.530445 IP 192.168.48.131.59445 > 192.168.48.128.3389: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.530450 IP 192.168.48.131.59445 > 192.168.48.128.pop3: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.530456 IP 192.168.48.131.59445 > 192.168.48.128.sunrpc: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.530461 IP 192.168.48.131.59445 > 192.168.48.128.smtp: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.530467 IP 192.168.48.131.59445 > 192.168.48.128.auth: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:26.533019 IP 192.168.48.128.1025 > 192.168.48.131.59445: Flags [S.], seq 4111744572, ack 2624150108, win 64240, options [mss 1460], length 0
15:45:26.533071 IP 192.168.48.128.telnet > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:26.533079 IP 192.168.48.128.submission > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:26.533086 IP 192.168.48.128.imap2 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:26.533093 IP 192.168.48.128.http-alt > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:26.533097 IP 192.168.48.128.3389 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:26.533124 IP 192.168.48.128.pop3 > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:26.533133 IP 192.168.48.128.sunrpc > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:26.533140 IP 192.168.48.128.smtp > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:26.533145 IP 192.168.48.128.auth > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:26.589650 IP 192.168.48.131.59445 > 192.168.48.128.1025: Flags [R], seq 2624150108, win 0, length 0
15:45:27.623184 IP 192.168.48.131.59445 > 192.168.48.128.imaps: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.623542 IP 192.168.48.128.imaps > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.624199 IP 192.168.48.131.59445 > 192.168.48.128.loc-srv: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.624728 IP 192.168.48.128.loc-srv > 192.168.48.131.59445: Flags [S.], seq 4112056999, ack 2624150108, win 64240, options [mss 1460], length 0
15:45:27.624912 IP 192.168.48.131.59445 > 192.168.48.128.ssh: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
15:45:27.625383 IP 192.168.48.128.ssh > 192.168.48.131.59445: Flags [R.], seq 0, ack 2624150108, win 0, length 0
15:45:27.625529 IP 192.168.48.131.59445 > 192.168.48.128.loc-srv: Flags [R], seq 2624150108, win 0, length 0
15:45:27.626303 IP 192.168.48.131.59445 > 192.168.48.128.pop3s: Flags [S], seq 2624150107, win 1024, options [mss 1460], length 0
